url,datetime,title,row_index,mode,header_mode,needed_bits,capacity_bits,fits,success,substitutions,ppl_content,ppl_stego,delta_ppl,ratio_ppl
,,gutenberg_105,105,VERB,len_crc,96,131,1,1,62,71.24667358398438,100.90958404541016,29.66291046142578,1.416340987856221
,,gutenberg_105,105,ADJ,len_crc,96,20,0,0,0,71.24667358398438,,,
,,gutenberg_105,105,ANY,len_crc,96,355,1,1,61,71.24667358398438,94.74110412597656,23.494430541992188,1.3297617890089612
,,gutenberg_106,106,NOUN,len_crc,96,88,0,0,0,111.9373550415039,,,
,,gutenberg_106,106,VERB,len_crc,96,101,1,1,62,111.9373550415039,143.7302703857422,31.79291534423828,1.2840241788136781
,,gutenberg_106,106,ADJ,len_crc,96,14,0,0,0,111.9373550415039,,,
,,gutenberg_106,106,ANY,len_crc,96,258,1,1,57,111.9373550415039,141.07412719726562,29.13677215576172,1.2602953423810885
,,gutenberg_107,107,NOUN,len_crc,96,87,0,0,0,132.1405792236328,,,
,,gutenberg_107,107,VERB,len_crc,96,133,1,1,59,132.1405792236328,156.66049194335938,24.519912719726562,1.1855592949856033
,,gutenberg_107,107,ADJ,len_crc,96,11,0,0,0,132.1405792236328,,,
,,gutenberg_107,107,ANY,len_crc,96,305,1,1,45,132.1405792236328,154.83555603027344,22.694976806640625,1.1717487310860957
,,gutenberg_108,108,NOUN,len_crc,96,86,0,0,0,108.99799346923828,,,
,,gutenberg_108,108,VERB,len_crc,96,114,1,1,63,108.99799346923828,139.55947875976562,30.561485290527344,1.2803857604878983
,,gutenberg_108,108,ADJ,len_crc,96,11,0,0,0,108.99799346923828,,,
,,gutenberg_108,108,ANY,len_crc,96,272,1,1,60,108.99799346923828,135.16110229492188,26.163108825683594,1.2400329399923076
,,gutenberg_109,109,NOUN,len_crc,96,82,0,0,0,73.75271606445312,,,
,,gutenberg_109,109,VERB,len_crc,96,139,1,1,59,73.75271606445312,99.07136535644531,25.318649291992188,1.343291076492234
,,gutenberg_109,109,ADJ,len_crc,96,11,0,0,0,73.75271606445312,,,
,,gutenberg_109,109,ANY,len_crc,96,277,1,1,58,73.75271606445312,98.2548828125,24.502166748046875,1.3322205344496632
,,gutenberg_110,110,NOUN,len_crc,96,76,0,0,0,116.11753845214844,,,
,,gutenberg_110,110,VERB,len_crc,96,105,1,1,49,116.11753845214844,142.2809600830078,26.163421630859375,1.2253184314757173
,,gutenberg_110,110,ADJ,len_crc,96,14,0,0,0,116.11753845214844,,,
,,gutenberg_110,110,ANY,len_crc,96,277,1,1,59,116.11753845214844,141.34420776367188,25.226669311523438,1.2172511547161262
,,gutenberg_111,111,NOUN,len_crc,96,72,0,0,0,111.20620727539062,,,
,,gutenberg_111,111,VERB,len_crc,96,127,1,1,61,111.20620727539062,146.16427612304688,34.95806884765625,1.3143535752557969
,,gutenberg_111,111,ADJ,len_crc,96,19,0,0,0,111.20620727539062,,,
,,gutenberg_111,111,ANY,len_crc,96,287,1,1,56,111.20620727539062,138.9522247314453,27.746017456054688,1.249500618138559
,,gutenberg_112,112,NOUN,len_crc,96,79,0,0,0,106.59131622314453,,,
,,gutenberg_112,112,VERB,len_crc,96,81,0,0,0,106.59131622314453,,,
,,gutenberg_112,112,ADJ,len_crc,96,17,0,0,0,106.59131622314453,,,
,,gutenberg_112,112,ANY,len_crc,96,221,1,1,64,106.59131622314453,127.91629028320312,21.324974060058594,1.2000629583691005
,,gutenberg_113,113,NOUN,len_crc,96,80,0,0,0,91.23922729492188,,,
,,gutenberg_113,113,VERB,len_crc,96,96,1,1,62,91.23922729492188,114.2740249633789,23.03479766845703,1.2524659442149735
,,gutenberg_113,113,ADJ,len_crc,96,15,0,0,0,91.23922729492188,,,
,,gutenberg_113,113,ANY,len_crc,96,211,1,1,60,91.23922729492188,111.73603820800781,20.496810913085938,1.224649106757908
,,gutenberg_114,114,NOUN,len_crc,96,79,0,0,0,78.82032012939453,,,
,,gutenberg_114,114,VERB,len_crc,96,90,0,0,0,78.82032012939453,,,
,,gutenberg_114,114,ADJ,len_crc,96,7,0,0,0,78.82032012939453,,,
,,gutenberg_114,114,ANY,len_crc,96,228,1,1,54,78.82032012939453,94.19061279296875,15.370292663574219,1.1950041897614947
,,gutenberg_115,115,NOUN,len_crc,96,83,0,0,0,91.65636444091797,,,
,,gutenberg_115,115,VERB,len_crc,96,167,1,1,62,91.65636444091797,130.48239135742188,38.826026916503906,1.4236042652720675
,,gutenberg_115,115,ADJ,len_crc,96,23,0,0,0,91.65636444091797,,,
